Airline,Source,Destination,Total_Stops,Day,Month,Year,Dept_Hour,Dept_Minute,Arr_Hour,Arr_Minute,hoursMinutes,Price
IndiGo,Banglore,Delhi,non-stop,6,4,2019,18,25,21,20,175,4823
IndiGo,Delhi,Cochin,1 stop,6,6,2019,5,5,12,10,425,6818
IndiGo,Chennai,Kolkata,non-stop,27,6,2019,11,35,14,0,145,3858
IndiGo,Kolkata,Banglore,1 stop,18,5,2019,21,0,2,15,315,6534
IndiGo,Banglore,Delhi,non-stop,9,3,2019,6,0,8,45,165,7648
IndiGo,Kolkata,Banglore,non-stop,6,3,2019,17,15,19,55,160,5618
IndiGo,Delhi,Cochin,1 stop,24,6,2019,16,0,1,30,570,6316
IndiGo,Chennai,Kolkata,non-stop,6,3,2019,5,15,7,35,140,6482
IndiGo,Kolkata,Banglore,1 stop,18,5,2019,19,20,23,45,265,3717
IndiGo,Chennai,Kolkata,non-stop,1,6,2019,13,15,15,35,140,3597
IndiGo,Delhi,Cochin,1 stop,6,6,2019,8,35,22,30,835,6442
IndiGo,Banglore,Delhi,non-stop,9,6,2019,7,10,10,5,175,4823
IndiGo,Mumbai,Hyderabad,non-stop,27,3,2019,20,5,21,35,90,2227
IndiGo,Chennai,Kolkata,non-stop,9,5,2019,5,15,7,40,145,3540
IndiGo,Banglore,Delhi,non-stop,27,4,2019,4,0,6,50,170,4423
IndiGo,Delhi,Cochin,2 stops,3,3,2019,4,55,21,20,985,8899
IndiGo,Kolkata,Banglore,non-stop,1,4,2019,4,40,7,15,155,4174
IndiGo,Kolkata,Banglore,1 stop,18,5,2019,17,35,22,15,280,5699
IndiGo,Mumbai,Hyderabad,non-stop,9,3,2019,6,20,7,45,85,4392
IndiGo,Delhi,Cochin,1 stop,24,4,2019,7,35,12,10,275,5073
IndiGo,Kolkata,Banglore,non-stop,12,4,2019,20,20,22,55,155,4488
IndiGo,Kolkata,Banglore,non-stop,21,6,2019,20,20,22,55,155,4804
IndiGo,Delhi,Cochin,1 stop,27,5,2019,5,5,12,10,425,6600
IndiGo,Delhi,Cochin,1 stop,15,6,2019,8,35,16,10,455,6442
IndiGo,Chennai,Kolkata,non-stop,21,5,2019,19,35,21,55,140,3597
IndiGo,Kolkata,Banglore,non-stop,27,5,2019,20,20,22,55,155,4804
IndiGo,Delhi,Cochin,1 stop,6,3,2019,14,20,22,20,480,7451
IndiGo,Kolkata,Banglore,non-stop,6,5,2019,17,15,19,50,155,4804
IndiGo,Mumbai,Hyderabad,non-stop,3,3,2019,21,20,22,45,85,4784
IndiGo,Banglore,Delhi,non-stop,24,5,2019,20,0,22,50,170,4823
IndiGo,Mumbai,Hyderabad,non-stop,21,6,2019,6,25,7,55,90,4049
IndiGo,Kolkata,Banglore,1 stop,9,4,2019,19,55,23,50,235,4226
IndiGo,Mumbai,Hyderabad,non-stop,9,6,2019,12,0,13,30,90,2754
IndiGo,Mumbai,Hyderabad,non-stop,12,6,2019,9,10,10,40,90,4049
IndiGo,Kolkata,Banglore,1 stop,18,5,2019,8,10,13,0,290,5279
IndiGo,Chennai,Kolkata,non-stop,3,5,2019,13,15,15,35,140,3597
IndiGo,Delhi,Cochin,1 stop,15,5,2019,17,5,22,15,310,6027
IndiGo,Banglore,Delhi,non-stop,27,5,2019,21,15,0,15,180,3943
IndiGo,Chennai,Kolkata,non-stop,15,3,2019,5,15,7,35,140,4326
IndiGo,Banglore,Delhi,non-stop,18,6,2019,18,25,21,20,175,4823
IndiGo,Banglore,Delhi,1 stop,3,3,2019,5,25,10,10,285,7774
IndiGo,Delhi,Cochin,1 stop,27,5,2019,7,35,16,10,515,7514
IndiGo,Chennai,Kolkata,non-stop,18,3,2019,13,20,15,35,135,3858
IndiGo,Kolkata,Banglore,non-stop,24,3,2019,20,25,23,5,160,8872
IndiGo,Delhi,Cochin,1 stop,1,6,2019,7,30,21,0,810,6416
IndiGo,Kolkata,Banglore,non-stop,18,3,2019,5,30,8,20,170,4462
IndiGo,Delhi,Cochin,1 stop,1,4,2019,7,35,12,10,275,5073
IndiGo,Chennai,Kolkata,non-stop,27,3,2019,5,15,7,35,140,4326
IndiGo,Mumbai,Hyderabad,non-stop,12,6,2019,16,55,18,25,90,3175
IndiGo,Kolkata,Banglore,1 stop,18,5,2019,6,20,10,20,240,4226
IndiGo,Delhi,Cochin,1 stop,15,5,2019,2,0,7,25,325,8618
IndiGo,Kolkata,Banglore,non-stop,18,4,2019,17,15,19,50,155,4174
IndiGo,Mumbai,Hyderabad,1 stop,6,3,2019,15,45,23,0,435,7681
IndiGo,Kolkata,Banglore,1 stop,9,5,2019,8,10,13,0,290,5069
IndiGo,Banglore,Delhi,non-stop,9,3,2019,21,20,0,15,175,6144
IndiGo,Delhi,Cochin,1 stop,15,5,2019,10,35,1,30,895,6979
IndiGo,Delhi,Cochin,1 stop,1,6,2019,9,15,1,30,975,7048
IndiGo,Delhi,Cochin,1 stop,27,5,2019,16,0,21,0,300,5054
IndiGo,Delhi,Cochin,1 stop,27,4,2019,7,35,16,10,515,6442
IndiGo,Banglore,Delhi,non-stop,24,6,2019,13,0,15,50,170,3943
IndiGo,Banglore,Delhi,non-stop,9,4,2019,10,10,13,0,170,4423
IndiGo,Chennai,Kolkata,non-stop,15,5,2019,5,15,7,40,145,3540
IndiGo,Delhi,Cochin,1 stop,1,6,2019,16,10,22,30,380,6938
IndiGo,Chennai,Kolkata,non-stop,15,5,2019,14,45,17,5,140,3597
IndiGo,Banglore,Delhi,1 stop,1,3,2019,16,55,21,50,295,8153
IndiGo,Banglore,Delhi,non-stop,1,6,2019,22,10,1,0,170,3419
IndiGo,Chennai,Kolkata,non-stop,3,3,2019,22,5,0,25,140,5277
IndiGo,Delhi,Cochin,1 stop,15,5,2019,14,20,22,30,490,6412
IndiGo,Banglore,Delhi,non-stop,18,6,2019,1,30,4,15,165,3419
IndiGo,Banglore,Delhi,non-stop,6,4,2019,22,10,1,0,170,3943
IndiGo,Kolkata,Banglore,non-stop,9,3,2019,5,30,8,20,170,4148
IndiGo,Banglore,Delhi,non-stop,9,5,2019,23,30,2,20,170,3943
IndiGo,Banglore,Delhi,non-stop,18,6,2019,5,30,8,20,170,3943
IndiGo,Delhi,Cochin,1 stop,9,5,2019,18,35,1,30,415,8542
IndiGo,Kolkata,Banglore,non-stop,24,5,2019,9,35,12,20,165,4804
IndiGo,Kolkata,Banglore,1 stop,6,6,2019,21,0,2,15,315,6711
IndiGo,Banglore,Delhi,non-stop,6,6,2019,0,25,3,15,170,3943
IndiGo,Banglore,Delhi,non-stop,24,3,2019,21,20,0,15,175,5694
IndiGo,Banglore,Delhi,non-stop,3,3,2019,0,40,3,25,165,6144
IndiGo,Delhi,Cochin,non-stop,27,4,2019,5,35,8,50,195,6015
IndiGo,Kolkata,Banglore,1 stop,9,6,2019,19,20,23,45,265,4205
IndiGo,Delhi,Cochin,1 stop,3,3,2019,6,40,16,10,570,9027
IndiGo,Delhi,Cochin,1 stop,18,5,2019,8,35,16,10,455,6442
IndiGo,Delhi,Cochin,1 stop,21,4,2019,7,35,12,10,275,5703
IndiGo,Kolkata,Banglore,non-stop,15,4,2019,15,30,18,5,155,4174
IndiGo,Kolkata,Banglore,non-stop,21,5,2019,17,15,19,50,155,4804
IndiGo,Banglore,Delhi,non-stop,1,6,2019,21,15,0,15,180,3943
IndiGo,Mumbai,Hyderabad,non-stop,18,3,2019,16,55,18,25,90,3175
IndiGo,Banglore,Delhi,non-stop,12,5,2019,4,0,6,50,170,3943
IndiGo,Banglore,Delhi,non-stop,15,5,2019,1,30,4,15,165,3419
IndiGo,Banglore,Delhi,non-stop,15,3,2019,21,20,0,15,175,8033
IndiGo,Chennai,Kolkata,non-stop,6,6,2019,22,5,0,25,140,5277
IndiGo,Banglore,Delhi,non-stop,3,3,2019,4,0,6,50,170,6144
IndiGo,Delhi,Cochin,1 stop,27,5,2019,23,30,4,35,305,9476
IndiGo,Banglore,Delhi,non-stop,18,6,2019,23,30,2,20,170,3943
IndiGo,Chennai,Kolkata,non-stop,9,5,2019,22,5,0,25,140,5277
IndiGo,Delhi,Cochin,1 stop,27,5,2019,16,0,1,30,570,7048
IndiGo,Banglore,Delhi,non-stop,21,4,2019,16,55,19,55,180,4990
IndiGo,Delhi,Cochin,1 stop,21,3,2019,18,35,1,35,420,9264
IndiGo,Delhi,Cochin,1 stop,24,6,2019,5,5,12,10,425,6442
IndiGo,Kolkata,Banglore,1 stop,1,5,2019,18,5,23,30,325,6218
IndiGo,Kolkata,Banglore,non-stop,21,3,2019,20,25,23,5,160,4462
IndiGo,Banglore,Delhi,non-stop,24,3,2019,18,55,21,45,170,7303
IndiGo,Delhi,Cochin,1 stop,1,6,2019,6,50,16,10,560,6442
IndiGo,Banglore,Delhi,non-stop,3,4,2019,20,0,22,50,170,4823
IndiGo,Banglore,Delhi,non-stop,9,6,2019,8,30,11,20,170,4823
IndiGo,Delhi,Cochin,1 stop,27,6,2019,7,35,12,10,275,5054
IndiGo,Mumbai,Hyderabad,non-stop,1,5,2019,19,5,20,35,90,2754
IndiGo,Delhi,Cochin,1 stop,21,5,2019,9,15,21,0,705,7318
IndiGo,Delhi,Cochin,1 stop,9,6,2019,21,50,3,35,345,6195
IndiGo,Delhi,Cochin,non-stop,21,6,2019,21,5,0,20,195,5406
IndiGo,Delhi,Cochin,1 stop,1,6,2019,11,55,22,30,635,6674
IndiGo,Mumbai,Hyderabad,non-stop,18,5,2019,20,5,21,40,95,2227
IndiGo,Mumbai,Hyderabad,non-stop,21,3,2019,16,55,18,25,90,3175
IndiGo,Kolkata,Banglore,non-stop,1,3,2019,9,35,12,20,165,6565
IndiGo,Kolkata,Banglore,non-stop,6,3,2019,20,25,23,5,160,4778
IndiGo,Banglore,Delhi,non-stop,6,5,2019,13,0,15,50,170,3943
IndiGo,Mumbai,Hyderabad,non-stop,21,6,2019,21,20,22,50,90,2227
IndiGo,Banglore,Delhi,non-stop,9,3,2019,21,20,0,15,175,4777
IndiGo,Banglore,Delhi,non-stop,27,5,2019,23,30,2,20,170,3943
IndiGo,Kolkata,Banglore,non-stop,15,3,2019,9,35,12,20,165,4148
IndiGo,Delhi,Cochin,1 stop,6,3,2019,6,40,12,0,320,5647
IndiGo,Delhi,Cochin,1 stop,9,5,2019,5,5,12,10,425,6818
IndiGo,Banglore,Delhi,non-stop,6,4,2019,13,0,15,50,170,4423
IndiGo,Delhi,Cochin,1 stop,24,5,2019,18,35,1,30,415,7503
IndiGo,Kolkata,Banglore,non-stop,24,6,2019,21,25,0,5,160,4804
IndiGo,Banglore,Delhi,non-stop,3,5,2019,23,30,2,20,170,4591
IndiGo,Chennai,Kolkata,non-stop,15,3,2019,11,35,14,0,145,6297
IndiGo,Kolkata,Banglore,1 stop,24,3,2019,11,55,16,25,270,9806
IndiGo,Delhi,Cochin,1 stop,6,6,2019,21,50,3,35,345,6195
IndiGo,Kolkata,Banglore,1 stop,18,5,2019,18,5,23,30,325,6704
IndiGo,Kolkata,Banglore,non-stop,18,3,2019,15,20,17,55,155,4462
IndiGo,Kolkata,Banglore,non-stop,21,5,2019,14,25,16,55,150,5224
IndiGo,Kolkata,Banglore,non-stop,1,6,2019,9,35,12,10,155,4804
IndiGo,Delhi,Cochin,non-stop,6,6,2019,5,35,8,50,195,5601
IndiGo,Delhi,Cochin,1 stop,21,5,2019,16,10,0,55,525,6778
IndiGo,Mumbai,Hyderabad,non-stop,15,6,2019,12,0,13,30,90,2754
IndiGo,Delhi,Cochin,1 stop,27,4,2019,2,0,7,25,325,5796
IndiGo,Delhi,Cochin,1 stop,24,4,2019,6,50,12,10,320,5298
IndiGo,Kolkata,Banglore,non-stop,15,5,2019,9,35,12,20,165,4804
IndiGo,Delhi,Cochin,1 stop,27,5,2019,14,20,22,30,490,6938
IndiGo,Delhi,Cochin,1 stop,27,3,2019,8,25,15,30,425,8075
IndiGo,Mumbai,Hyderabad,non-stop,15,3,2019,19,5,20,30,85,2754
IndiGo,Delhi,Cochin,1 stop,21,3,2019,6,40,22,20,940,6558
IndiGo,Delhi,Cochin,1 stop,24,6,2019,6,40,21,0,860,6093
IndiGo,Chennai,Kolkata,non-stop,1,6,2019,15,40,18,25,165,3540
IndiGo,Delhi,Cochin,1 stop,3,6,2019,8,30,21,0,750,6416
IndiGo,Banglore,Delhi,non-stop,3,5,2019,16,55,19,55,180,4823
IndiGo,Banglore,Delhi,non-stop,18,5,2019,8,30,11,20,170,4823
IndiGo,Kolkata,Banglore,non-stop,21,6,2019,4,40,7,15,155,4804
IndiGo,Delhi,Cochin,1 stop,18,5,2019,20,25,1,30,305,6069
IndiGo,Delhi,Cochin,1 stop,27,5,2019,11,55,22,30,635,6442
IndiGo,Kolkata,Banglore,non-stop,18,6,2019,14,25,16,55,150,4804
IndiGo,Banglore,Delhi,non-stop,24,5,2019,23,30,2,20,170,4591
IndiGo,Banglore,Delhi,non-stop,6,5,2019,7,10,10,5,175,4823
IndiGo,Kolkata,Banglore,1 stop,6,5,2019,15,15,20,5,290,4775
IndiGo,Mumbai,Hyderabad,non-stop,3,6,2019,9,10,10,40,90,4049
IndiGo,Kolkata,Banglore,non-stop,24,3,2019,10,10,12,55,165,6565
IndiGo,Banglore,Delhi,non-stop,24,5,2019,8,30,11,20,170,4823
IndiGo,Banglore,Delhi,non-stop,21,6,2019,20,0,22,50,170,4823
IndiGo,Delhi,Cochin,1 stop,12,6,2019,11,25,1,30,845,5883
IndiGo,Banglore,Delhi,1 stop,21,3,2019,19,35,0,35,300,6575
IndiGo,Kolkata,Banglore,1 stop,1,4,2019,8,10,13,0,290,5069
IndiGo,Delhi,Cochin,1 stop,6,6,2019,2,0,7,45,345,6386
IndiGo,Banglore,Delhi,non-stop,18,5,2019,23,30,2,20,170,4591
IndiGo,Kolkata,Banglore,non-stop,12,4,2019,4,40,7,15,155,4174
IndiGo,Delhi,Cochin,1 stop,27,3,2019,16,10,22,20,370,6412
IndiGo,Kolkata,Banglore,non-stop,6,5,2019,15,30,18,5,155,4804
IndiGo,Delhi,Cochin,1 stop,9,6,2019,16,10,22,30,380,6412
IndiGo,Chennai,Kolkata,non-stop,6,6,2019,11,35,14,0,145,3858
IndiGo,Kolkata,Banglore,non-stop,3,5,2019,20,20,22,55,155,4804
IndiGo,Delhi,Cochin,1 stop,15,6,2019,7,15,12,30,315,6582
IndiGo,Delhi,Cochin,1 stop,6,4,2019,2,0,7,25,325,5046
IndiGo,Kolkata,Banglore,non-stop,6,5,2019,11,30,14,5,155,5224
IndiGo,Mumbai,Hyderabad,non-stop,18,3,2019,19,5,20,30,85,2754
IndiGo,Delhi,Cochin,1 stop,27,5,2019,20,25,1,30,305,5054
IndiGo,Kolkata,Banglore,non-stop,24,5,2019,14,25,16,55,150,5224
IndiGo,Banglore,Delhi,1 stop,1,3,2019,12,10,17,5,295,9694
IndiGo,Delhi,Cochin,1 stop,21,3,2019,17,10,1,35,505,7318
IndiGo,Delhi,Cochin,1 stop,21,5,2019,7,35,12,10,275,5054
IndiGo,Delhi,Cochin,1 stop,9,3,2019,7,45,13,40,355,6755
IndiGo,Mumbai,Hyderabad,non-stop,1,5,2019,20,5,21,40,95,2227
IndiGo,Kolkata,Banglore,non-stop,9,6,2019,21,25,0,5,160,4804
IndiGo,Delhi,Cochin,1 stop,6,6,2019,7,35,12,10,275,5458
IndiGo,Delhi,Cochin,1 stop,12,6,2019,7,35,12,10,275,5054
IndiGo,Banglore,Delhi,non-stop,15,4,2019,18,25,21,20,175,4823
IndiGo,Delhi,Cochin,1 stop,12,6,2019,5,5,16,10,665,6818
IndiGo,Kolkata,Banglore,non-stop,15,5,2019,22,15,0,50,155,4804
IndiGo,Delhi,Cochin,1 stop,21,3,2019,10,45,1,35,890,7318
IndiGo,Chennai,Kolkata,non-stop,21,3,2019,7,55,10,15,140,3384
IndiGo,Banglore,Delhi,non-stop,3,6,2019,23,30,2,20,170,4591
IndiGo,Delhi,Cochin,1 stop,24,6,2019,23,30,4,35,305,9165
IndiGo,Chennai,Kolkata,non-stop,18,5,2019,7,55,10,15,140,3850
IndiGo,Mumbai,Hyderabad,non-stop,1,6,2019,16,55,18,25,90,3175
IndiGo,Mumbai,Hyderabad,non-stop,27,3,2019,9,10,10,40,90,4392
IndiGo,Delhi,Cochin,1 stop,27,5,2019,8,35,22,30,835,6442
IndiGo,Delhi,Cochin,non-stop,9,6,2019,21,5,0,20,195,6015
IndiGo,Delhi,Cochin,1 stop,12,6,2019,8,35,16,10,455,6442
IndiGo,Chennai,Kolkata,non-stop,12,5,2019,13,15,15,35,140,3597
IndiGo,Banglore,Delhi,non-stop,9,6,2019,1,30,4,15,165,4077
IndiGo,Delhi,Cochin,1 stop,9,6,2019,17,30,1,30,480,6104
IndiGo,Delhi,Cochin,1 stop,3,3,2019,4,55,12,0,425,9585
IndiGo,Delhi,Cochin,1 stop,9,5,2019,15,10,20,0,290,6147
IndiGo,Chennai,Kolkata,non-stop,24,5,2019,13,15,15,35,140,3597
IndiGo,Delhi,Cochin,1 stop,27,3,2019,8,25,21,0,755,8285
IndiGo,Banglore,Delhi,non-stop,24,4,2019,6,5,8,50,165,4423
IndiGo,Banglore,Delhi,non-stop,3,3,2019,23,30,2,20,170,6144
IndiGo,Kolkata,Banglore,non-stop,27,3,2019,21,25,0,5,160,4148
IndiGo,Delhi,Cochin,1 stop,6,6,2019,14,20,22,30,490,6938
IndiGo,Delhi,Cochin,1 stop,12,6,2019,8,30,21,0,750,6093
IndiGo,Banglore,Delhi,non-stop,15,5,2019,10,10,13,0,170,3943
IndiGo,Banglore,Delhi,non-stop,3,3,2019,16,55,19,45,170,8855
IndiGo,Banglore,Delhi,non-stop,24,6,2019,6,5,8,50,165,3943
IndiGo,Kolkata,Banglore,1 stop,1,5,2019,9,20,14,15,295,8443
IndiGo,Kolkata,Banglore,1 stop,15,4,2019,15,15,20,30,315,4775
IndiGo,Mumbai,Hyderabad,non-stop,12,5,2019,21,20,22,50,90,2227
IndiGo,Delhi,Cochin,1 stop,3,6,2019,7,30,21,0,810,6093
IndiGo,Delhi,Cochin,1 stop,6,4,2019,7,35,12,10,275,5073
IndiGo,Banglore,Delhi,non-stop,9,5,2019,1,30,4,15,165,3419
IndiGo,Delhi,Cochin,1 stop,24,4,2019,15,10,20,0,290,6027
IndiGo,Banglore,Delhi,non-stop,6,4,2019,6,5,8,50,165,4423
IndiGo,Delhi,Cochin,1 stop,1,6,2019,7,35,12,10,275,5054
IndiGo,Banglore,Delhi,non-stop,3,6,2019,21,15,0,15,180,3943
IndiGo,Banglore,Delhi,non-stop,24,4,2019,13,0,15,50,170,4423
IndiGo,Banglore,Delhi,non-stop,6,5,2019,20,0,22,50,170,4823
IndiGo,Mumbai,Hyderabad,non-stop,12,5,2019,9,10,10,40,90,4049
IndiGo,Delhi,Cochin,1 stop,9,6,2019,6,50,22,30,940,6442
IndiGo,Delhi,Cochin,1 stop,24,6,2019,8,35,22,30,835,6442
IndiGo,Banglore,Delhi,non-stop,21,4,2019,20,0,22,50,170,4823
IndiGo,Banglore,Delhi,non-stop,1,5,2019,4,0,6,50,170,3943
IndiGo,Delhi,Cochin,1 stop,18,5,2019,11,25,21,0,575,7191
IndiGo,Kolkata,Banglore,non-stop,27,6,2019,4,40,7,15,155,4804
IndiGo,Chennai,Kolkata,non-stop,12,6,2019,13,15,15,35,140,3597
IndiGo,Banglore,Delhi,non-stop,24,3,2019,18,25,21,20,175,7303
IndiGo,Delhi,Cochin,1 stop,6,5,2019,7,30,21,0,810,7191
IndiGo,Delhi,Cochin,1 stop,15,6,2019,7,35,22,30,895,6442
IndiGo,Kolkata,Banglore,non-stop,27,4,2019,4,40,7,15,155,4804
IndiGo,Delhi,Cochin,non-stop,21,3,2019,14,30,17,35,185,5406
IndiGo,Kolkata,Banglore,1 stop,9,6,2019,8,10,13,0,290,5069
IndiGo,Mumbai,Hyderabad,non-stop,6,6,2019,12,0,13,30,90,2754
IndiGo,Banglore,Delhi,non-stop,15,3,2019,16,55,19,45,170,8033
IndiGo,Banglore,Delhi,non-stop,9,3,2019,18,25,21,20,175,6860
IndiGo,Banglore,Delhi,non-stop,12,5,2019,7,10,10,5,175,4823
IndiGo,Kolkata,Banglore,non-stop,9,4,2019,4,40,7,15,155,4174
IndiGo,Delhi,Cochin,non-stop,27,6,2019,5,35,8,50,195,5000
IndiGo,Kolkata,Banglore,non-stop,1,3,2019,15,10,17,45,155,6565
IndiGo,Banglore,Delhi,1 stop,21,3,2019,5,25,10,10,285,6208
IndiGo,Kolkata,Banglore,non-stop,21,6,2019,17,15,19,50,155,4804
IndiGo,Delhi,Cochin,1 stop,18,5,2019,16,0,21,0,300,6069
IndiGo,Delhi,Cochin,1 stop,24,4,2019,2,0,7,25,325,5636
IndiGo,Chennai,Kolkata,non-stop,6,5,2019,7,55,10,15,140,3850
IndiGo,Mumbai,Hyderabad,non-stop,18,6,2019,21,20,22,50,90,2227
